product_id,product_name,category,company,coverage_amount,annual_premium,coverage_years,waiting_period_days,deductible,target_age_min,target_age_max,target_gender,target_income_min,features,coverage_type,payment_method,rating,coverage_detail
PCOIL0001,A号码次标准车险,车险,COIL保险公司,171958,1060,1,0,10000,18,80,不限,0,COIL-2000真实保险产品：A号码次标准车险，属于车险类别,标准版,年交,4.0,COIL-2000数据集中的真实保险产品：A号码次标准车险（车险）。此数据来自荷兰保险公司Sentient Machine Research的真实业务数据，于2000年作为CoIL Challenge发布在UCI机器学习库。
PCOIL0002,B号码第三者车险,车险,COIL保险公司,169879,3972,1,0,10000,18,80,不限,0,COIL-2000真实保险产品：B号码第三者车险，属于车险类别,标准版,年交,4.0,COIL-2000数据集中的真实保险产品：B号码第三者车险（车险）。此数据来自荷兰保险公司Sentient Machine Research的真实业务数据，于2000年作为CoIL Challenge发布在UCI机器学习库。
PCOIL0003,C号码火灾险,其他保险,COIL保险公司,187337,666,1,0,10000,18,80,不限,0,COIL-2000真实保险产品：C号码火灾险，属于其他保险类别,标准版,年交,4.0,COIL-2000数据集中的真实保险产品：C号码火灾险（其他保险）。此数据来自荷兰保险公司Sentient Machine Research的真实业务数据，于2000年作为CoIL Challenge发布在UCI机器学习库。
PCOIL0004,D号码自行车险,财产险,COIL保险公司,137498,3644,1,30,10000,18,80,不限,0,COIL-2000真实保险产品：D号码自行车险，属于财产险类别,标准版,年交,4.0,COIL-2000数据集中的真实保险产品：D号码自行车险（财产险）。此数据来自荷兰保险公司Sentient Machine Research的真实业务数据，于2000年作为CoIL Challenge发布在UCI机器学习库。
PCOIL0005,E号码货物运输险,财产险,COIL保险公司,379365,969,1,30,5000,18,80,不限,0,COIL-2000真实保险产品：E号码货物运输险，属于财产险类别,标准版,年交,4.0,COIL-2000数据集中的真实保险产品：E号码货物运输险（财产险）。此数据来自荷兰保险公司Sentient Machine Research的真实业务数据，于2000年作为CoIL Challenge发布在UCI机器学习库。
PCOIL0006,F号码一般责任险,责任险,COIL保险公司,302709,2633,1,30,0,18,80,不限,0,COIL-2000真实保险产品：F号码一般责任险，属于责任险类别,标准版,年交,4.0,COIL-2000数据集中的真实保险产品：F号码一般责任险（责任险）。此数据来自荷兰保险公司Sentient Machine Research的真实业务数据，于2000年作为CoIL Challenge发布在UCI机器学习库。
PCOIL0007,G号码律师援助险,法律与援助险,COIL保险公司,264176,4755,1,30,5000,18,80,不限,0,COIL-2000真实保险产品：G号码律师援助险，属于法律与援助险类别,标准版,年交,4.0,COIL-2000数据集中的真实保险产品：G号码律师援助险（法律与援助险）。此数据来自荷兰保险公司Sentient Machine Research的真实业务数据，于2000年作为CoIL Challenge发布在UCI机器学习库。
PCOIL0008,H号码作物险,财产险,COIL保险公司,308795,3104,1,0,10000,18,80,不限,0,COIL-2000真实保险产品：H号码作物险，属于财产险类别,标准版,年交,4.0,COIL-2000数据集中的真实保险产品：H号码作物险（财产险）。此数据来自荷兰保险公司Sentient Machine Research的真实业务数据，于2000年作为CoIL Challenge发布在UCI机器学习库。
PCOIL0009,I号码农机险,财产险,COIL保险公司,206730,2758,1,30,10000,18,80,不限,0,COIL-2000真实保险产品：I号码农机险，属于财产险类别,标准版,年交,4.0,COIL-2000数据集中的真实保险产品：I号码农机险（财产险）。此数据来自荷兰保险公司Sentient Machine Research的真实业务数据，于2000年作为CoIL Challenge发布在UCI机器学习库。
PCOIL0010,J号码寿险,寿险,COIL保险公司,115725,2934,1,30,10000,18,80,不限,0,COIL-2000真实保险产品：J号码寿险，属于寿险类别,标准版,年交,4.0,COIL-2000数据集中的真实保险产品：J号码寿险（寿险）。此数据来自荷兰保险公司Sentient Machine Research的真实业务数据，于2000年作为CoIL Challenge发布在UCI机器学习库。
PCOIL0011,K号码私人意外险,意外险,COIL保险公司,117435,1467,1,30,0,18,80,不限,0,COIL-2000真实保险产品：K号码私人意外险，属于意外险类别,标准版,年交,4.0,COIL-2000数据集中的真实保险产品：K号码私人意外险（意外险）。此数据来自荷兰保险公司Sentient Machine Research的真实业务数据，于2000年作为CoIL Challenge发布在UCI机器学习库。
PCOIL0012,L号码家庭财产险,财产险,COIL保险公司,323538,3756,1,0,10000,18,80,不限,0,COIL-2000真实保险产品：L号码家庭财产险，属于财产险类别,标准版,年交,4.0,COIL-2000数据集中的真实保险产品：L号码家庭财产险（财产险）。此数据来自荷兰保险公司Sentient Machine Research的真实业务数据，于2000年作为CoIL Challenge发布在UCI机器学习库。
PCOIL0013,M号码健康险,健康险,COIL保险公司,306840,2635,1,0,5000,18,80,不限,0,COIL-2000真实保险产品：M号码健康险，属于健康险类别,标准版,年交,4.0,COIL-2000数据集中的真实保险产品：M号码健康险（健康险）。此数据来自荷兰保险公司Sentient Machine Research的真实业务数据，于2000年作为CoIL Challenge发布在UCI机器学习库。
PCOIL0014,N号码信用卡保险,其他保险,COIL保险公司,255041,2241,1,0,5000,18,80,不限,0,COIL-2000真实保险产品：N号码信用卡保险，属于其他保险类别,标准版,年交,4.0,COIL-2000数据集中的真实保险产品：N号码信用卡保险（其他保险）。此数据来自荷兰保险公司Sentient Machine Research的真实业务数据，于2000年作为CoIL Challenge发布在UCI机器学习库。
PCOIL0015,O号码法律援助险,法律与援助险,COIL保险公司,118148,1563,1,30,10000,18,80,不限,0,COIL-2000真实保险产品：O号码法律援助险，属于法律与援助险类别,标准版,年交,4.0,COIL-2000数据集中的真实保险产品：O号码法律援助险（法律与援助险）。此数据来自荷兰保险公司Sentient Machine Research的真实业务数据，于2000年作为CoIL Challenge发布在UCI机器学习库。
PCOIL0016,P号码剩余价值险,其他保险,COIL保险公司,204555,1678,1,30,0,18,80,不限,0,COIL-2000真实保险产品：P号码剩余价值险，属于其他保险类别,标准版,年交,4.0,COIL-2000数据集中的真实保险产品：P号码剩余价值险（其他保险）。此数据来自荷兰保险公司Sentient Machine Research的真实业务数据，于2000年作为CoIL Challenge发布在UCI机器学习库。
PCOIL0017,Q号码玻璃险,车险,COIL保险公司,329303,4214,1,0,5000,18,80,不限,0,COIL-2000真实保险产品：Q号码玻璃险，属于车险类别,标准版,年交,4.0,COIL-2000数据集中的真实保险产品：Q号码玻璃险（车险）。此数据来自荷兰保险公司Sentient Machine Research的真实业务数据，于2000年作为CoIL Challenge发布在UCI机器学习库。
PCOIL0018,R号码摩托车险,车险,COIL保险公司,348064,2155,1,30,5000,18,80,不限,0,COIL-2000真实保险产品：R号码摩托车险，属于车险类别,标准版,年交,4.0,COIL-2000数据集中的真实保险产品：R号码摩托车险（车险）。此数据来自荷兰保险公司Sentient Machine Research的真实业务数据，于2000年作为CoIL Challenge发布在UCI机器学习库。
PCOIL0019,S号码亲属责任险,责任险,COIL保险公司,258261,2813,1,30,5000,18,80,不限,0,COIL-2000真实保险产品：S号码亲属责任险，属于责任险类别,标准版,年交,4.0,COIL-2000数据集中的真实保险产品：S号码亲属责任险（责任险）。此数据来自荷兰保险公司Sentient Machine Research的真实业务数据，于2000年作为CoIL Challenge发布在UCI机器学习库。
