user_id,history_purchases,coil_socio_1,coil_socio_2,coil_socio_3,coil_socio_4,coil_socio_5,coil_socio_6,coil_socio_7,coil_socio_8,coil_socio_9,coil_socio_10,coil_socio_11,coil_socio_12,coil_socio_13,coil_socio_14,coil_socio_15,coil_socio_16,coil_socio_17,coil_socio_18,coil_socio_19,coil_socio_20,coil_socio_21,coil_socio_22,coil_socio_23,coil_socio_24,coil_socio_25,coil_socio_26,coil_socio_27,coil_socio_28,coil_socio_29,coil_socio_30,coil_socio_31,coil_socio_32,coil_socio_33,coil_socio_34,coil_socio_35,coil_socio_36,coil_socio_37,coil_socio_38,coil_socio_39,coil_socio_40,coil_socio_41,coil_socio_42,coil_socio_43,social_category_idx,age_group_idx,avg_income_level,car_ownership,household_size,religion_idx,marital_status_idx,has_caravan
UCI000001,"Y号码特殊车险,KK号码丧葬险",33.0,1.0,3.0,2.0,8.0,0.0,5.0,1.0,3.0,7.0,0.0,2.0,1.0,2.0,6.0,1.0,2.0,7.0,1.0,0.0,1.0,2.0,5.0,2.0,1.0,1.0,2.0,6.0,1.0,1.0,8.0,8.0,0.0,1.0,8.0,1.0,0.0,4.0,5.0,0.0,0.0,4.0,3.0,0,0,0.0,0.0,0.0,0,0,0
UCI000002,KK号码丧葬险,37.0,1.0,2.0,2.0,8.0,1.0,4.0,1.0,4.0,6.0,2.0,2.0,0.0,4.0,5.0,0.0,5.0,4.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,2.0,3.0,5.0,0.0,2.0,7.0,7.0,1.0,2.0,6.0,3.0,2.0,0.0,5.0,2.0,0.0,5.0,4.0,0,0,0.0,0.0,0.0,0,0,0
UCI000003,"V号码人寿储蓄险,Y号码特殊车险,KK号码丧葬险",37.0,1.0,2.0,2.0,8.0,0.0,4.0,2.0,4.0,3.0,2.0,4.0,4.0,4.0,2.0,0.0,5.0,4.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,5.0,0.0,4.0,0.0,7.0,2.0,7.0,0.0,2.0,9.0,0.0,4.0,5.0,0.0,0.0,0.0,3.0,4.0,0,0,0.0,0.0,0.0,0,0,0
UCI000004,"Y号码特殊车险,KK号码丧葬险",9.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,5.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,2.0,4.0,0.0,0.0,3.0,1.0,2.0,3.0,2.0,1.0,4.0,0.0,5.0,4.0,9.0,0.0,0.0,7.0,2.0,1.0,5.0,3.0,0.0,0.0,4.0,4.0,0,0,0.0,0.0,0.0,0,0,0
UCI000005,KK号码丧葬险,40.0,1.0,4.0,2.0,10.0,1.0,4.0,1.0,4.0,7.0,1.0,2.0,2.0,4.0,4.0,5.0,4.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,4.0,5.0,6.0,2.0,1.0,5.0,4.0,0.0,0.0,9.0,0.0,0.0,6.0,3.0,0,0,0.0,0.0,0.0,0,0,0
UCI000006,Y号码特殊车险,23.0,1.0,2.0,1.0,5.0,0.0,5.0,0.0,5.0,0.0,6.0,3.0,3.0,5.0,2.0,0.0,5.0,4.0,2.0,0.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,9.0,0.0,5.0,3.0,3.0,9.0,0.0,5.0,2.0,3.0,0.0,0.0,3.0,3.0,0,0,0.0,0.0,0.0,0,0,0
UCI000007,Y号码特殊车险,39.0,2.0,3.0,2.0,9.0,2.0,2.0,0.0,5.0,7.0,2.0,0.0,0.0,3.0,6.0,0.0,4.0,5.0,0.0,0.0,0.0,4.0,1.0,5.0,0.0,1.0,4.0,5.0,0.0,6.0,3.0,8.0,0.0,1.0,9.0,0.0,4.0,3.0,3.0,0.0,0.0,3.0,5.0,0,0,0.0,0.0,0.0,0,0,0
UCI000008,FF号码拖车险,33.0,1.0,2.0,3.0,8.0,0.0,7.0,0.0,2.0,7.0,2.0,0.0,0.0,5.0,4.0,0.0,3.0,6.0,2.0,0.0,0.0,2.0,5.0,2.0,2.0,1.0,2.0,5.0,2.0,0.0,9.0,4.0,4.0,2.0,6.0,3.0,2.0,5.0,3.0,0.0,0.0,3.0,3.0,0,0,0.0,0.0,0.0,0,0,0
UCI000009,Y号码特殊车险,33.0,1.0,2.0,4.0,8.0,0.0,1.0,3.0,6.0,6.0,0.0,3.0,3.0,3.0,3.0,0.0,1.0,8.0,1.0,1.0,0.0,1.0,8.0,1.0,1.0,1.0,0.0,8.0,1.0,9.0,0.0,5.0,2.0,3.0,7.0,2.0,7.0,2.0,1.0,0.0,0.0,2.0,3.0,0,0,0.0,0.0,0.0,0,0,0
UCI000010,"V号码人寿储蓄险,KK号码丧葬险",11.0,2.0,3.0,3.0,3.0,3.0,5.0,0.0,2.0,7.0,0.0,2.0,2.0,2.0,6.0,0.0,4.0,5.0,2.0,0.0,0.0,3.0,3.0,3.0,1.0,2.0,1.0,4.0,2.0,0.0,9.0,6.0,1.0,2.0,6.0,3.0,2.0,3.0,3.0,1.0,0.0,4.0,7.0,0,0,0.0,0.0,0.0,0,0,0
UCI000011,Y号码特殊车险,10.0,1.0,4.0,3.0,3.0,1.0,4.0,1.0,4.0,7.0,1.0,2.0,0.0,3.0,6.0,4.0,3.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,9.0,6.0,2.0,1.0,5.0,4.0,0.0,3.0,2.0,2.0,2.0,8.0,7.0,0,0,0.0,0.0,0.0,0,0,0
UCI000012,"V号码人寿储蓄险,Y号码特殊车险,KK号码丧葬险",9.0,1.0,3.0,3.0,3.0,1.0,3.0,2.0,4.0,7.0,1.0,2.0,2.0,3.0,5.0,1.0,7.0,1.0,4.0,0.0,0.0,5.0,1.0,1.0,2.0,3.0,4.0,1.0,0.0,6.0,3.0,7.0,1.0,2.0,4.0,5.0,3.0,4.0,3.0,1.0,0.0,3.0,4.0,0,0,0.0,0.0,0.0,0,0,0
UCI000013,Y号码特殊车险,33.0,1.0,2.0,3.0,8.0,1.0,4.0,1.0,4.0,6.0,2.0,3.0,3.0,4.0,3.0,1.0,4.0,5.0,1.0,1.0,0.0,3.0,2.0,4.0,1.0,2.0,2.0,5.0,1.0,5.0,4.0,6.0,1.0,3.0,7.0,2.0,3.0,4.0,3.0,1.0,0.0,3.0,3.0,0,0,0.0,0.0,0.0,0,0,0
